Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-reswithln-alllayer
Experiment description:  Reusing blocks, max LR 6e-4, computing loss every layer, x + attn(x), x + mlp(LN(x))
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 27 train 7.7486 , allloss: 92.9878, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.8638, dt: 1611.93ms, tok/sec: 81313.64, flops:32.27, batch-reuse:1
@ 28 train 7.7723 , allloss: 93.2716, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.6461, dt: 1612.28ms, tok/sec: 81296.12, flops:32.26, batch-reuse:1
@ 29 train 7.8320 , allloss: 93.9788, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.9173, dt: 1613.89ms, tok/sec: 81215.02, flops:32.23, batch-reuse:1
@ 30 train 7.7268 , allloss: 92.7146, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.3534, dt: 1614.03ms, tok/sec: 81207.81, flops:32.23, batch-reuse:1
@ 31 train 7.7826 , allloss: 93.3907, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.1123, dt: 1613.64ms, tok/sec: 81227.56, flops:32.24, batch-reuse:1
@ 32 train 7.7733 , allloss: 93.2827, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.4365, dt: 1615.84ms, tok/sec: 81116.98, flops:32.19, batch-reuse:1
@ 33 train 7.7142 , allloss: 92.5692, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:3.3816, dt: 1615.11ms, tok/sec: 81153.81, flops:32.21, batch-reuse:1
@ 34 train 7.7318 , allloss: 92.7855, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:3.9011, dt: 1615.13ms, tok/sec: 81152.65, flops:32.21, batch-reuse:1
@ 35 train 7.6961 , allloss: 92.3516, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.4277, dt: 1612.53ms, tok/sec: 81283.37, flops:32.26, batch-reuse:1
@ 36 train 7.6887 , allloss: 92.2582, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.7242, dt: 1613.24ms, tok/sec: 81247.47, flops:32.25, batch-reuse:1
@ 37 train 7.7387 , allloss: 92.8600, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.1791, dt: 1614.12ms, tok/sec: 81203.49, flops:32.23, batch-reuse:1
@ 38 train 7.6718 , allloss: 92.0603, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.3250, dt: 1615.47ms, tok/sec: 81135.39, flops:32.20, batch-reuse:1
