Threshold: 0.1
Enable layer loss: False
total desired batch size: 131072
Mini-batch size: 16*1024
=> calculated gradient accumulation steps: 8
=> calculated gradient accumulation steps: 8
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 110 train 7.06802654 , allloss: 7.0680, lr:1.2000e-03, norm:0.3601, dt: 2635.50ms, tok/sec: 49733.22, flops:19.74, batch-reuse:1
@ 111 train 7.08345985 , allloss: 7.0835, lr:1.2000e-03, norm:0.4411, dt: 2635.56ms, tok/sec: 49732.08, flops:19.74, batch-reuse:1
@ 112 train 7.08239746 , allloss: 7.0824, lr:1.2000e-03, norm:0.3276, dt: 2635.15ms, tok/sec: 49739.84, flops:19.74, batch-reuse:1
@ 113 train 7.03640652 , allloss: 7.0364, lr:1.2000e-03, norm:0.3765, dt: 2635.61ms, tok/sec: 49731.22, flops:19.74, batch-reuse:1
@ 114 train 7.03676987 , allloss: 7.0368, lr:1.2000e-03, norm:0.2602, dt: 2633.56ms, tok/sec: 49769.90, flops:19.75, batch-reuse:1
@ 115 train 6.99001408 , allloss: 6.9900, lr:1.2000e-03, norm:0.3715, dt: 2633.98ms, tok/sec: 49761.88, flops:19.75, batch-reuse:1
@ 116 train 6.97459698 , allloss: 6.9746, lr:1.2000e-03, norm:0.3366, dt: 2635.85ms, tok/sec: 49726.62, flops:19.74, batch-reuse:1
@ 117 train 6.97653532 , allloss: 6.9765, lr:1.2000e-03, norm:0.3432, dt: 2632.08ms, tok/sec: 49797.81, flops:19.76, batch-reuse:1
@ 118 train 6.99916077 , allloss: 6.9992, lr:1.2000e-03, norm:0.3905, dt: 2634.26ms, tok/sec: 49756.70, flops:19.75, batch-reuse:1
@ 119 train 6.96644688 , allloss: 6.9664, lr:1.2000e-03, norm:0.3638, dt: 2635.03ms, tok/sec: 49742.13, flops:19.74, batch-reuse:1
@ 120 train 7.11026669 , allloss: 7.1103, lr:1.2000e-03, norm:0.4720, dt: 2633.15ms, tok/sec: 49777.55, flops:19.76, batch-reuse:1
@ 121 train 7.20279598 , allloss: 7.2028, lr:1.2000e-03, norm:0.4656, dt: 2634.02ms, tok/sec: 49761.13, flops:19.75, batch-reuse:1
@ 122 train 7.11669159 , allloss: 7.1167, lr:1.2000e-03, norm:0.3787, dt: 2631.31ms, tok/sec: 49812.44, flops:19.77, batch-reuse:1
@ 123 train 6.99462414 , allloss: 6.9946, lr:1.2000e-03, norm:0.3927, dt: 2633.87ms, tok/sec: 49764.05, flops:19.75, batch-reuse:1
@ 124 train 7.01789188 , allloss: 7.0179, lr:1.2000e-03, norm:0.3417, dt: 2632.95ms, tok/sec: 49781.45, flops:19.76, batch-reuse:1
@ 125 train 7.03727818 , allloss: 7.0373, lr:1.2000e-03, norm:0.3254, dt: 2635.11ms, tok/sec: 49740.54, flops:19.74, batch-reuse:1
@ 126 train 7.05520439 , allloss: 7.0552, lr:1.2000e-03, norm:0.4660, dt: 2635.05ms, tok/sec: 49741.71, flops:19.74, batch-reuse:1
@ 127 train 6.96484566 , allloss: 6.9648, lr:1.2000e-03, norm:0.3555, dt: 2635.44ms, tok/sec: 49734.45, flops:19.74, batch-reuse:1
@ 128 train 6.92996740 , allloss: 6.9300, lr:1.2000e-03, norm:0.3170, dt: 2635.94ms, tok/sec: 49724.94, flops:19.73, batch-reuse:1
@ 129 train 7.11761379 , allloss: 7.1176, lr:1.2000e-03, norm:0.4115, dt: 2635.46ms, tok/sec: 49734.01, flops:19.74, batch-reuse:1
@ 130 train 7.03865576 , allloss: 7.0387, lr:1.2000e-03, norm:0.4225, dt: 2636.79ms, tok/sec: 49708.89, flops:19.73, batch-reuse:1
@ 131 train 7.02663803 , allloss: 7.0266, lr:1.2000e-03, norm:0.5259, dt: 2636.68ms, tok/sec: 49711.03, flops:19.73, batch-reuse:1
@ 132 train 7.10461760 , allloss: 7.1046, lr:1.2000e-03, norm:0.6884, dt: 2632.36ms, tok/sec: 49792.53, flops:19.76, batch-reuse:1
