@ 131 train 6.55961657, lr:6.0000e-04, norm:0.4219, dt: 439.57ms, tok/sec: 298180.57, flops:226.60, batch-reuse:1
@ 132 train 6.62517357, lr:6.0000e-04, norm:0.5975, dt: 439.32ms, tok/sec: 298352.42, flops:226.73, batch-reuse:1
@ 133 train 6.51482534, lr:6.0000e-04, norm:0.4744, dt: 437.36ms, tok/sec: 299690.64, flops:227.75, batch-reuse:1
@ 134 train 6.58325815, lr:6.0000e-04, norm:0.4795, dt: 438.74ms, tok/sec: 298748.84, flops:227.03, batch-reuse:1
@ 135 train 6.47238111, lr:6.0000e-04, norm:0.7136, dt: 438.72ms, tok/sec: 298762.96, flops:227.04, batch-reuse:1
@ 136 train 6.50671005, lr:6.0000e-04, norm:0.5277, dt: 438.82ms, tok/sec: 298690.89, flops:226.99, batch-reuse:1
@ 137 train 6.39261150, lr:6.0000e-04, norm:0.4801, dt: 437.87ms, tok/sec: 299337.69, flops:227.48, batch-reuse:1
@ 138 train 6.40570116, lr:6.0000e-04, norm:0.4647, dt: 436.62ms, tok/sec: 300193.69, flops:228.13, batch-reuse:1
@ 139 train 6.39375353, lr:6.0000e-04, norm:0.6814, dt: 439.27ms, tok/sec: 298385.30, flops:226.76, batch-reuse:1
@ 140 train 6.39088297, lr:6.0000e-04, norm:0.4946, dt: 438.24ms, tok/sec: 299089.18, flops:227.29, batch-reuse:1
@ 141 train 6.37837267, lr:6.0000e-04, norm:0.5745, dt: 438.30ms, tok/sec: 299044.92, flops:227.26, batch-reuse:1
@ 142 train 6.47670412, lr:6.0000e-04, norm:0.3837, dt: 438.08ms, tok/sec: 299197.42, flops:227.37, batch-reuse:1
@ 143 train 6.42095470, lr:6.0000e-04, norm:0.4900, dt: 442.08ms, tok/sec: 296490.91, flops:225.32, batch-reuse:1
@ 144 train 6.41547871, lr:6.0000e-04, norm:0.6408, dt: 442.65ms, tok/sec: 296106.52, flops:225.03, batch-reuse:1
@ 145 train 6.39203787, lr:6.0000e-04, norm:0.3743, dt: 443.70ms, tok/sec: 295409.61, flops:224.50, batch-reuse:1
@ 146 train 6.55933332, lr:6.0000e-04, norm:0.5090, dt: 443.89ms, tok/sec: 295277.92, flops:224.40, batch-reuse:1
@ 147 train 6.41041708, lr:6.0000e-04, norm:0.5594, dt: 437.72ms, tok/sec: 299444.16, flops:227.56, batch-reuse:1
@ 148 train 6.37416840, lr:6.0000e-04, norm:0.3533, dt: 435.96ms, tok/sec: 300653.86, flops:228.48, batch-reuse:1
@ 149 train 6.26480961, lr:6.0000e-04, norm:0.4739, dt: 437.62ms, tok/sec: 299510.55, flops:227.61, batch-reuse:1
@ 150 train 6.48269510, lr:6.0000e-04, norm:0.3464, dt: 437.88ms, tok/sec: 299329.86, flops:227.48, batch-reuse:1
@ 151 train 6.29470301, lr:6.0000e-04, norm:0.4136, dt: 437.76ms, tok/sec: 299417.41, flops:227.54, batch-reuse:1
@ 152 train 6.30806732, lr:6.0000e-04, norm:0.5230, dt: 439.94ms, tok/sec: 297930.10, flops:226.41, batch-reuse:1
@ 153 train 6.27225971, lr:6.0000e-04, norm:0.5245, dt: 443.47ms, tok/sec: 295561.29, flops:224.61, batch-reuse:1
@ 154 train 6.37639666, lr:6.0000e-04, norm:0.5426, dt: 443.68ms, tok/sec: 295418.50, flops:224.50, batch-reuse:1
@ 155 train 6.51058292, lr:6.0000e-04, norm:0.4967, dt: 446.73ms, tok/sec: 293401.36, flops:222.97, batch-reuse:1
@ 156 train 6.33925724, lr:6.0000e-04, norm:0.4019, dt: 442.19ms, tok/sec: 296417.85, flops:225.26, batch-reuse:1
@ 157 train 6.45706701, lr:6.0000e-04, norm:0.5269, dt: 440.97ms, tok/sec: 297238.57, flops:225.89, batch-reuse:1
@ 158 train 6.40280771, lr:6.0000e-04, norm:0.4903, dt: 443.88ms, tok/sec: 295286.64, flops:224.40, batch-reuse:1
@ 159 train 6.44358921, lr:6.0000e-04, norm:0.5229, dt: 443.02ms, tok/sec: 295863.03, flops:224.84, batch-reuse:1
@ 160 train 6.34256744, lr:6.0000e-04, norm:0.4781, dt: 443.66ms, tok/sec: 295434.70, flops:224.52, batch-reuse:1
@ 161 train 6.32749176, lr:6.0000e-04, norm:0.3880, dt: 444.07ms, tok/sec: 295160.13, flops:224.31, batch-reuse:1
@ 162 train 6.46941853, lr:6.0000e-04, norm:0.4511, dt: 442.80ms, tok/sec: 296008.95, flops:224.95, batch-reuse:1
@ 163 train 6.36368465, lr:6.0000e-04, norm:0.3641, dt: 440.46ms, tok/sec: 297579.99, flops:226.15, batch-reuse:1
@ 164 train 6.27495480, lr:6.0000e-04, norm:0.4557, dt: 439.66ms, tok/sec: 298121.39, flops:226.56, batch-reuse:1
@ 165 train 6.39913702, lr:6.0000e-04, norm:0.3690, dt: 439.31ms, tok/sec: 298359.71, flops:226.74, batch-reuse:1
@ 166 train 6.35630178, lr:6.0000e-04, norm:0.5720, dt: 441.31ms, tok/sec: 297005.56, flops:225.71, batch-reuse:1
@ 167 train 6.40609694, lr:6.0000e-04, norm:0.5306, dt: 441.28ms, tok/sec: 297026.26, flops:225.72, batch-reuse:1
